	Cistopus_taiwanicus	Cistopus_chinensis	Octopus_bimaculo1es	Octopus_bimaculatus	Octopus_vulgaris	Amphioctopus_fangsiao	Amphioctopus_marginatus	Amphioctopus_aegina	Octopus_minor	Octopus_conispadiceus	Spirula_spirula_voucher_NMV_Z7	Watasenia_scintillans	Vampyroteuthis_infernalis	Todarodes_pacificus	Illex_argentinus	Architeuthis_dux_isolate_2099	Sepiella_maindroni	Sepiella_japonica	Sepiella_inermis	Sepia_officinalis	Sepia_apama	Sepia_latimanus	Sepia_pharaonis	Sepia_lyc1as	Semirossia_patagonica	Uroteuthis_duvaucelii	Sepioteuthis_lessoniana_vouche	Aplysia_californica	Argonauta_hians
Cistopus_taiwanicus	1	0.868	0.824	0.808	0.820	0.797	0.787	0.791	0.770	0.762	0.657	0.469	0.703	0.330	0.351	0.376	0.450	0.450	0.448	0.437	0.439	0.441	0.448	0.446	0.480	0.363	0.337	0.316	0.319
Cistopus_chinensis	0.868	1	0.816	0.800	0.812	0.792	0.786	0.792	0.766	0.759	0.654	0.469	0.704	0.327	0.348	0.373	0.443	0.444	0.443	0.431	0.433	0.433	0.440	0.441	0.474	0.359	0.332	0.312	0.312
Octopus_bimaculo1es	0.824	0.816	1	0.917	0.858	0.807	0.797	0.800	0.777	0.766	0.656	0.471	0.704	0.330	0.351	0.374	0.448	0.448	0.447	0.435	0.436	0.437	0.442	0.444	0.477	0.362	0.336	0.315	0.319
Octopus_bimaculatus	0.808	0.800	0.917	1	0.838	0.808	0.792	0.799	0.775	0.763	0.654	0.473	0.694	0.333	0.354	0.377	0.451	0.451	0.450	0.439	0.439	0.442	0.446	0.447	0.479	0.366	0.341	0.318	0.323
Octopus_vulgaris	0.820	0.812	0.858	0.838	1	0.800	0.796	0.792	0.776	0.762	0.655	0.468	0.694	0.326	0.345	0.371	0.448	0.448	0.445	0.434	0.435	0.435	0.440	0.441	0.476	0.360	0.334	0.314	0.313
Amphioctopus_fangsiao	0.797	0.792	0.807	0.808	0.800	1	0.842	0.840	0.778	0.766	0.665	0.477	0.703	0.336	0.356	0.380	0.458	0.459	0.459	0.447	0.449	0.450	0.455	0.455	0.483	0.370	0.345	0.320	0.325
Amphioctopus_marginatus	0.787	0.786	0.797	0.792	0.796	0.842	1	0.858	0.768	0.758	0.659	0.471	0.697	0.330	0.350	0.375	0.449	0.449	0.448	0.436	0.437	0.440	0.445	0.443	0.475	0.365	0.336	0.314	0.315
Amphioctopus_aegina	0.791	0.792	0.800	0.799	0.792	0.840	0.858	1	0.798	0.765	0.662	0.473	0.698	0.330	0.350	0.376	0.451	0.451	0.450	0.439	0.441	0.444	0.449	0.451	0.478	0.368	0.341	0.315	0.323
Octopus_minor	0.770	0.766	0.777	0.775	0.776	0.778	0.768	0.798	1	0.764	0.656	0.471	0.691	0.328	0.346	0.373	0.450	0.450	0.448	0.435	0.434	0.436	0.443	0.444	0.475	0.359	0.334	0.316	0.319
Octopus_conispadiceus	0.762	0.759	0.766	0.763	0.762	0.766	0.758	0.765	0.764	1	0.659	0.474	0.698	0.331	0.350	0.374	0.449	0.449	0.446	0.434	0.436	0.435	0.446	0.445	0.478	0.363	0.338	0.317	0.317
Spirula_spirula_voucher_NMV_Z7	0.657	0.654	0.656	0.654	0.655	0.665	0.659	0.662	0.656	0.659	1	0.521	0.686	0.321	0.342	0.373	0.435	0.436	0.435	0.426	0.426	0.425	0.433	0.434	0.496	0.346	0.320	0.301	0.289
Watasenia_scintillans	0.469	0.469	0.471	0.473	0.468	0.477	0.471	0.473	0.471	0.474	0.521	1	0.483	0.365	0.370	0.415	0.384	0.384	0.384	0.377	0.376	0.376	0.382	0.381	0.360	0.283	0.264	0.235	0.235
Vampyroteuthis_infernalis	0.703	0.704	0.704	0.694	0.694	0.703	0.697	0.698	0.691	0.698	0.686	0.483	1	0.324	0.345	0.366	0.444	0.444	0.443	0.432	0.433	0.433	0.442	0.442	0.480	0.351	0.329	0.314	0.314
Todarodes_pacificus	0.330	0.327	0.330	0.333	0.326	0.336	0.330	0.330	0.328	0.331	0.321	0.365	0.324	1	0.827	0.734	0.485	0.485	0.484	0.474	0.472	0.473	0.481	0.480	0.365	0.375	0.282	0.259	0.273
Illex_argentinus	0.351	0.348	0.351	0.354	0.345	0.356	0.350	0.350	0.346	0.350	0.342	0.370	0.345	0.827	1	0.732	0.509	0.509	0.509	0.499	0.498	0.498	0.509	0.508	0.385	0.399	0.298	0.261	0.274
Architeuthis_dux_isolate_2099	0.376	0.373	0.374	0.377	0.371	0.380	0.375	0.376	0.373	0.374	0.373	0.415	0.366	0.734	0.732	1	0.538	0.539	0.536	0.528	0.526	0.526	0.537	0.533	0.405	0.406	0.311	0.247	0.255
Sepiella_maindroni	0.450	0.443	0.448	0.451	0.448	0.458	0.449	0.451	0.450	0.449	0.435	0.384	0.444	0.485	0.509	0.538	1	0.998	0.940	0.847	0.791	0.788	0.809	0.806	0.447	0.416	0.346	0.279	0.291
